City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Coronel Suarez,AR,-37.4547,-61.9334,38.26,43,69,4.25,broken clouds
216,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,4.61,clear sky
217,San Jose Del Guaviare,CO,2.5729,-72.6459,72.97,94,100,3.27,overcast clouds
218,Balakhta,RU,55.38,91.6,52.02,60,2,5.44,clear sky
219,Deogarh,IN,21.5333,84.7333,85.32,34,5,1.7,clear sky
220,Nemuro,JP,43.3236,145.575,52.74,89,100,15.12,overcast clouds
221,Kodiak,US,57.79,-152.4072,47.71,81,100,9.22,light rain
222,Punta Del Este,UY,-34.9667,-54.95,54.88,63,75,14.97,broken clouds
223,Nyirbator,HU,47.8333,22.1333,53.2,81,7,8.48,clear sky
224,Bantogon,PH,6.5333,124.0333,82.22,78,78,5.82,broken clouds
225,Palikir - National Government Center,FM,6.9248,158.1611,81.61,78,100,14.29,moderate rain
226,Oranjemund,NA,-28.55,16.4333,51.39,80,0,6.87,clear sky
227,Levuka,CA,50.1834,-105.4011,73.22,75,82,9.86,broken clouds
228,Nar'Yan-Mar,RU,67.6713,53.087,44.76,61,36,8.14,scattered clouds
229,Argostolion,GR,38.1811,20.489,66.96,72,15,1.5,few clouds
230,Pandan,PH,14.0453,124.1694,83.77,77,100,21.16,overcast clouds
231,Utrik,MH,11.2278,169.8474,81.32,78,100,13.94,light rain
232,Beitbridge,ZW,-22.2167,30.0,59.99,88,7,6.13,clear sky
233,Queenstown,ZA,-31.8976,26.8753,46.69,36,0,5.46,clear sky
234,General Roca,AR,-39.0333,-67.5833,42.62,21,0,9.15,clear sky
235,Sanming,CN,26.2486,117.6186,85.66,73,44,0.89,scattered clouds
236,Benguela,AO,-12.5763,13.4055,72.1,87,3,5.26,clear sky
237,Codrington,AU,-38.2667,141.9667,57.4,76,6,15.17,clear sky
238,Callao,PE,-12.0667,-77.15,71.89,73,100,11.5,overcast clouds
239,Kem',RU,64.9555,34.5793,41.79,56,4,5.7,clear sky
240,Howrah,IN,22.5892,88.3103,80.6,89,40,3.44,mist
241,Maceio,BR,-9.6658,-35.7353,76.44,94,40,1.14,scattered clouds
242,Berezhani,UA,49.45,24.9333,47.34,80,3,7.31,clear sky
243,Tvoroyri,FO,61.5556,-6.8111,43.3,64,10,17.38,clear sky
244,Lautoka,FJ,-17.6167,177.4667,84.06,65,40,8.05,scattered clouds
245,Puerto Escondido,MX,15.85,-97.0667,84.18,73,9,1.74,light rain
246,Novovarshavka,RU,54.1721,74.6946,55.78,39,2,0.4,clear sky
